,county_name,zip,lat,lng,city,state_name,avg_risk_score_all
9399,DeKalb,30317,33.74913,-84.31537,Atlanta,Georgia,1.57
9400,Fulton,30318,33.79235,-84.44831,Atlanta,Georgia,1.52
9401,DeKalb,30319,33.87875,-84.33596,Atlanta,Georgia,1.45
9402,DeKalb,30322,33.7948,-84.32539,Atlanta,Georgia,1.81
9403,Fulton,30324,33.8196,-84.3572,Atlanta,Georgia,1.96
9404,Fulton,30326,33.84957,-84.36342,Atlanta,Georgia,1.3
9405,Fulton,30327,33.86708,-84.42358,Atlanta,Georgia,1.84
9406,Fulton,30328,33.93194,-84.38617,Atlanta,Georgia,1.65
9407,DeKalb,30329,33.82625,-84.32282,Atlanta,Georgia,1.65
9408,Fulton,30331,33.70627,-84.54439,Atlanta,Georgia,1.41
9409,Fulton,30332,33.77757,-84.40429,Atlanta,Georgia,1.1
9410,Fulton,30334,33.74855,-84.38804,Atlanta,Georgia,1.0
9411,Fulton,30336,33.73718,-84.56768,Atlanta,Georgia,1.95
9412,Fulton,30337,33.64019,-84.44962,Atlanta,Georgia,1.55
9413,DeKalb,30338,33.9437,-84.31801,Atlanta,Georgia,1.59
9414,Cobb,30339,33.86786,-84.46483,Atlanta,Georgia,2.01
9415,DeKalb,30340,33.89808,-84.25113,Atlanta,Georgia,1.58
9416,DeKalb,30341,33.88711,-84.28992,Atlanta,Georgia,1.45
9417,Fulton,30342,33.88227,-84.37429,Atlanta,Georgia,1.84
9418,Fulton,30344,33.67508,-84.46029,Atlanta,Georgia,1.63
9419,DeKalb,30345,33.85082,-84.28317,Atlanta,Georgia,1.87
9420,DeKalb,30346,33.92425,-84.33881,Atlanta,Georgia,1.35
9421,Fulton,30349,33.62346,-84.52591,Atlanta,Georgia,1.37
9422,Fulton,30350,33.97881,-84.33366,Atlanta,Georgia,1.72
9423,Fulton,30354,33.66058,-84.38609,Atlanta,Georgia,1.54
9424,DeKalb,30360,33.93198,-84.27302,Atlanta,Georgia,1.51
